"gameIDs201516","pageIDs201516"
"20151009-1930_SEQvsBEN","137220"
"20151010-1900_PERvsSYD","137221"
"20151010-1900_TSVvsBEN","137222"
"20151010-1900_CANvsDAN","137223"
"20151010-1930_MELvsADL","137224"
"20151014-1900_SYDvsCAN","137225"
"20151016-1930_DANvsSEQ","137226"
"20151017-1930_ADLvsSYD","137227"
"20151017-1930_MELvsPER","137228"
"20151018-1500_BENvsPER","137229"
"20151018-1300_TSVvsCAN","137230"
"20151022-1900_CANvsSEQ","137231"
"20151023-1930_DANvsBEN","137232"
"20151024-1900_BENvsCAN","137233"
"20151024-1900_SYDvsMEL","137234"
"20151024-1900_TSVvsADL","137235"
"20151025-1300_PERvsDAN","137236"
"20151025-1600_SEQvsADL","137237"
"20151030-1900_PERvsBEN","137238"
"20151030-1930_SEQvsSYD","137239"
"20151031-1830_DANvsTSV","137240"
"20151031-1900_CANvsMEL","137241"
"20151101-1500_ADLvsBEN","137242"
"20151102_1930_MELvsTSV","137243"
"20151106-1900_SYDvsCAN","137244"
"20151107-1830_DANvsMEL","137245"
"20151107-1900_BENvsSEQ","137246"
"20151108-1300_TSVvsSYD","137247"
"20151108-1500_ADLvsPER","137248"
"20151108-1500_MELvsSEQ","137249"
"20151113-1900_PERvsDAN","137250"
"20151113_1900_SYDvsADL","137251"
"20151113-1930_SEQvsMEL","137252"
"20151114-1900_CANvsADL","137253"
"20151115-1400_BENvsPER","137254"
"20151115-1300_TSVvsMEL","137255"
"20151120-1900_PERvsADL","137256"
"20151120-1930_SEQvsTSV","137257"
"20151121-1700_SYDvsSEQ","137258"
"20151121-1930_MELvsBEN","137259"
"20151122-1400_BENvsDAN","137260"
"20151122-1300_CANvsTSV","137261"
"20151128-1830_DANvsSYD","137262"
"20151128-1900_TSVvsPER","137263"
"20151128-1900_CANvsMEL","137264"
"20151129-1500_ADLvsBEN","137265"
"20151129-1600_SEQvsPER","137266"
"20151205-1900_CANvsSYD","137267"
"20151204-1900_SYDvsADL","137268"
"20151204-1900_TSVvsBEN","137269"
"20151204-1930_DANvsPER","137270"
"20151205-1930_MELvsPER","137271"
"20151206-1500_ADLvsDAN","137272"
"20151206-1600_SEQvsBEN","137273"
"20151211-1900_PERvsSEQ","137274"
"20151212-1830_DANvsCAN","137275"
"20151212-1900_BENvsMEL","137276"
"20151213-1230_SYDvsTSV","137277"
"20151213-1500_ADLvsSEQ","137278"
"20151213-1500_MELvsCAN","137279"
"20151218-1900_PERvsCAN","137280"
"20151218-1930_BENvsSYD","137281"
"20151218-1930_DANvsMEL","137282"
"20151218-1930_SEQvsTSV","137283"
"20151219-1930_ADLvsCAN","137284"
"20151219-1930_MELvsSYD","137285"
"20151220-1500_TSVvsDAN","137286"
"20151231-1900_PERvsTSV","137287"
"20160102-1500_SYDvsMEL","137288"
"20160102-1900_BENvsCAN","137289"
"20160102-1900_SEQvsDAN","137290"
"20160102-1930_ADLvsTSV","137291"
"20160107-1900_SYDvsPER","137292"
"20160108-1930_ADLvsDAN","137293"
"20160109-1830_DANvsSYD","137294"
"20160109-1900_BENvsMEL","137295"
"20160109-1900_TSVvsSEQ","137296"
"20160122-1930_BENvsSYD","137298"
"20160122-1930_DANvsADL","137299"
"20160123-1900_SEQvsCAN","137300"
"20160124-1400_PERvsADL","137301"
"20160124-1500_TSVvsCAN","137302"
"20160125-1930_MELvsDAN","137303"
"20160129-1900_TSVvsSYD","137304"
"20160129-1930_ADLvsMEL","137305"
"20160130-1830_DANvsBEN","137306"
"20160130-1900_PERvsMEL","137307"
"20160131-1500_CANvsADL","137308"
"20160131-1600_SEQvsSYD","137309"
"20160205-1930_ADLvsSEQ","137310"
"20160206-1900_PERvsSEQ","137311"
"20160206-1900_SYDvsDAN","137312"
"20160206-1930_MELvsTSV","137313"
"20160207-1500_BENvsTSV","137314"
"20160207-1500_CANvsDAN","137315"
"20160212-1900_TSVvsDAN","137316"
"20160212-1900_CANvsPER","137317"
"20160213-1900_SYDvsPER","137318"
"20160213-1930_MELvsADL","137319"
"20160214-1400_BENvsADL","137320"
"20160214-1600_SEQvsCAN","137321"
"20160219-1600_PERvsTSV","137322"
"20160219-1900_SYDvsBEN","137323"
"20160221-1700_DANvsSEQ","137324"
"20160220-1900_CANvsBEN","137325"
"20160220-1930_ADLvsTSV","137326"
"20160220-1930_MELvsSEQ","137327"
