"gameIDs201617","pageIDs201617"
"20161007-1930_SYDvsPER","311810"
"20161008-1500_CANvsDAN","311811"
"20161008-1930_BENvsADL","311812"
"20161009-1300_TSVvsPER","311813"
"20161009-1500_MELvsADL","311814"
"20161014-1900_CANvsADL","311815"
"20161015-1900_BENvsDAN","311816"
"20161015-1930_MELvsPER","311817"
"20161016-1300_TSVvsADL","311818"
"20161016-1700_DANvsPER","311819"
"20161016-1700_SYDvsCAN","311820"
"20161021-1700_ADLvsMEL","311821"
"20161021-1930_BENvsSYD","311822"
"20161021-1930_DANvsTSV","311823"
"20161022-1900_PERvsCAN","311824"
"20161022-1900_SYDvsTSV","311825"
"20161023-1400_MELvsBEN","311826"
"20161028-1900_CANvsMEL","311827"
"20161028-1930_DANvsBEN","311828"
"20161030-1300_TSVvsBEN","311829"
"20161030-1300_PERvsADL","311830"
"20161031-1930_MELvsDAN","311831"
"20161105-1900_TSVvsSYD","311832"
"20161105-1930_BENvsCAN","311833"
"20161106-1400_DANvsCAN","311834"
"20161106-1400_PERvsMEL","311835"
"20161111-1930_SYDvsMEL","311836"
"20161112-1930_ADLvsPER","311837"
"20161112-1900_DANvsCAN","311838"
"20161112-1930_BENvsTSV","311839"
"20161113-1500_MELvsTSV","311840"
"20161118-1900_PERvsBEN","311841"
"20161119-1930_ADLvsBEN","311842"
"20161119-1900_CANvsTSV","311843"
"20161120-1400_DANvsMEL","311844"
"20161120-1500_SYDvsTSV","311845"
"20161125-1900_TSVvsPER","311846"
"20161125-1930_SYDvsBEN","311847"
"20161126-1830_DANvsADL","311848"
"20161127-1400_CANvsPER","311849"
"20161127-1500_BENvsADL","311850"
"20161202-1900_PERvsTSV","311851"
"20161202-1900_CANvsMEL","311852"
"20161203-1700_ADLvsTSV","311853"
"20161203-1830_DANvsSYD","311854"
"20161204-1430_MELvsSYD","311855"
"20161204-1500_BENvsDAN","311856"
"20161208-1900_CANvsSYD","311857"
"20161209-1930_ADLvsDAN","311858"
"20161210-1900_SYDvsBEN","311859"
"20161210-1900_TSVvsMEL","311860"
"20161211-1300_PERvsDAN","311861"
"20161216-1630_ADLvsTSV","311862"
"20161216-1930_BENvsCAN","311863"
"20161217-1900_SYDvsDAN","311864"
"20161217-1930_MELvsCAN","311865"
"20161218-1300_PERvsADL","311866"
"20161229-1930_ADLvsSYD","311867"
"20161230-1900_PERvsSYD","311868"
"20161231-1900_TSVvsMEL","311869"
"20170106-1900_TSVvsCAN","311870"
"20170107-1900_PERvsBEN","311871"
"20170107-1930_MELvsADL","311872"
"20170108-1400_DANvsADL","311873"
"20170108-1700_SYDvsCAN","311874"
"20170112-1630_ADLvsSYD","311875"
"20170113-1930_BENvsSYD","311876"
"20170114-1500_DANvsMEL","311877"
"20170114-1500_CANvsTSV","311878"
"20170120-1900_TSVvsBEN","311879"
"20170121-1630_ADLvsDAN","311880"
"20170121-1700_SYDvsPER","311881"
"20170121-1900_CANvsBEN","311882"
"20170122-1500_MELvsPER","311883"
"20170125-1930_MELvsDAN","311884"
"20170126-1500_CANvsSYD","311885"
"20170127-1930_ADLvsPER","311886"
"20170128-1900_TSVvsSYD","311887"
"20170128-1930_BENvsMEL","311888"
"20170129-1400_PERvsDAN","311889"
"20170203-1930_ADLvsCAN","311890"
"20170204-1830_DANvsTSV","311891"
"20170205-1400_PERvsCAN","311892"
"20170205-1500_BENvsTSV","311893"
"20170205-1500_MELvsSYD","311894"
"20170210-1900_TSVvsDAN","311895"
"20170210-1930_ADLvsMEL","311896"
"20170212-1200_CANvsBEN","311897"
"20170211-1900_SYDvsDAN","311898"
"20170212-1400_PERvsMEL","311899"
"20170216-1900_CANvsADL","311900"
"20170218-1830_DANvsPER","311901"
"20170218-1900_SYDvsADL","311902"
"20170218-1900_TSVvsCAN","311903"
"20170218-1930_MELvsBEN","311904"
"20170219-1500_BENvsPER","311905"
